neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78705,apartments,75,5,3,0.25,1,0,2.8799276339236335,15,0,0,1,0,2.70805020110221
78701,apartments,139,2,229,3.51,2,244,0.29117226917188754,69.5,1,1,1,0,4.241326752570746
78731,apartments,119,2,103,1.38,1,352,4.631483155631804,59.5,1,1,1,0,4.085976312551584
78704,apartments,109,2,86,1.14,4,163,5.217571716999727,54.5,0,0,1,0,3.9982007016691985
78704,apartments,95,2,60,0.84,1,0,3.127314027688544,47.5,0,0,1,0,3.8607297110405954
78703,apartments,179,2,12,0.19,1,82,3.964515022454273,89.5,0,0,1,0,4.4942386252808095
78701,apartments,118,2,101,1.33,31,348,0.7404186670483172,59,1,1,1,0,4.07753744390572
78751,apartments,128,2,126,1.75,1,211,4.234413194422928,64,1,1,1,1,4.1588830833596715
78757,apartments,79,2,15,1.02,1,0,7.782320332372617,39.5,0,0,1,1,3.676300671907076
78704,apartments,149,3,88,1.27,21,253,2.7262368256005405,49.666666666666664,1,0,1,0,3.905334017277349
78745,apartments,137,2,165,2.2,1,107,6.4223640606642265,68.5,0,1,1,1,4.22683374526818
78741,apartments,150,30,15,0.2,1,226,6.655357905849355,5,1,0,1,1,1.6094379124341003
78751,apartments,390,4,0,NA,1,0,5.164655415493832,97.5,0,0,1,1,4.579852378003801
78704,apartments,143,2,159,2.11,26,336,2.918852865501828,71.5,1,1,1,0,4.269697449699962
78736,apartments,97,1,16,0.23,1,0,19.094181622874295,97,0,0,0,0,4.574710978503383
78758,apartments,172,4,45,0.61,11,302,9.460231587217017,43,1,0,1,1,3.7612001156935624
78704,apartments,95,30,6,0.08,2,364,3.2527425393223406,3.1666666666666665,1,0,1,0,1.1526795099383853
78729,apartments,206,28,38,0.5,1,334,19.69490888428249,7.357142857142857,1,0,0,0,1.995671658614377
78704,apartments,225,4,46,0.61,2,94,3.9805026348995165,56.25,0,0,1,0,4.029806041084529
78702,apartments,135,7,41,0.63,1,0,3.8527271276384623,19.285714285714285,0,0,1,0,2.959364629383116
78704,apartments,125,5,1,0.03,1,0,3.1352016243442757,25,0,0,1,0,3.2188758248682006
78703,apartments,88,2,134,1.86,1,0,2.189386500949169,44,0,1,1,0,3.784189633918261
78756,apartments,144,2,14,0.19,1,108,3.7399777753093404,72,0,0,1,1,4.276666119016055
78702,apartments,89,2,38,0.5,1,0,2.141115130787359,44.5,0,0,1,0,3.7954891891721947
78704,apartments,750,83,0,NA,1,364,4.706259311755891,9.036144578313253,1,0,1,0,2.201232598733758
78721,apartments,84,1,67,0.89,2,282,5.420580430053409,84,1,0,1,0,4.430816798843313
78704,apartments,99,2,55,0.72,3,306,5.309713046790388,49.5,1,0,1,0,3.901972669574645
78702,apartments,102,2,275,3.65,1,323,2.5009931914308177,51,1,1,1,0,3.9318256327243257
78701,apartments,111,2,527,7.74,8,341,0.7126692313170041,55.5,1,1,1,0,4.0163830207523885
78704,apartments,98,2,17,0.22,2,0,4.914011363674598,49,0,0,1,0,3.8918202981106265
78703,apartments,150,3,0,NA,2,0,4.426451445852316,50,0,0,1,0,3.912023005428146
78702,apartments,129,7,233,3.1,1,0,2.1593808988003467,18.428571428571427,0,1,1,0,2.913902255306359
